ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Protein name)	subunits(Gene name)	SWISSPROT organism	Subunits comment	Complex comment	subunits(Gene name syn)	Disease comment	PubMed ID
3155	TFC4-CTNNB1 complex	Human	None	None	P35222;Q9NQB0	1499;6934	MI:0019-coimmunoprecipitation	GO:0006351;GO:0016055	transcription, DNA-templated;Wnt signaling pathway	11;30.05.02.20	TRANSCRIPTION;Wnt signalling pathway	Catenin beta-1;Transcription factor 7-like 2	CTNNB1;TCF7L2	Homo sapiens (Human);Homo sapiens (Human)	None	As a consequence of engaging the canonical Wnt pathway, a beta-catenin-T-cell factor (TCF) transcriptional complex is generated, which has been postulated to trigger the epithelial-mesenchymal transition (EMT) that characterizes the tissue-invasive phenotype of breast cancer.	CTNNB;TCF4	None	17072303
3156	CBF1-HDAC1-SMRT complex	Human	None	None	Q06330;Q13547;Q9Y618	3516;3065;9612	MI:0007-anti tag coimmunoprecipitation	GO:0006265;GO:0045892;GO:0006476;GO:0051276;GO:0005634	DNA topological change;negative regulation of transcription, DNA-templated;protein deacetylation;chromosome organization;nucleus	10.01.09.05;11.02.03.04.03;14.07.04;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;organization of chromosome structure;nucleus	Recombining binding protein suppressor of hairless;Histone deacetylase 1;Nuclear receptor corepressor 2	RBPJ;HDAC1;NCOR2	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	CBF1 interacts with a corepressor complex containing HDAC1 and SMRT. Activation of Notch disrupts the formation of the repressor complex by competing of SMRT and Notch for binding with CBF1.	IGKJRB, IGKJRB1, RBPJK, RBPSUH, CBF1;RPD3L1;SMRT, CTG26	None	9694793
3157	PR -PRLR complex	Human	H1:R2 complex; Prolactin-PRL receptor complex	None	P01236;P16471	5617;5618	MI:0019-coimmunoprecipitation	GO:0023052	signaling	30.01	cellular signalling	Prolactin;Prolactin receptor	PRL;PRLR	Homo sapiens (Human);Homo sapiens (Human)	None	H1:R2 complex consists of one prolactin molecule and one receptor dimer. The process of receptor dimerization can be either constitutive or ligand dependent.	None;None	None	16556730
3158	RIAM-Rap1-GTP-profilin complex	Mammalia	None	COS cells	P07737;P62834;Q7Z5R6	5216;5906;54518	MI:0007- anti tag coimmunoprecipitation	GO:0007155;GO:0030036	cell adhesion;actin cytoskeleton organization	34.07;42.04.03	cell adhesion;actin cytoskeleton	Profilin-1 ;Ras-related protein Rap-1A;Amyloid beta A4 precursor protein-binding family B member 1-interacting protein	PFN1;RAP1A;APBB1IP	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	The results indicate that RIAM can function as a link between Rap1-GTP and the actin regulator Profilin either by direct RIAM binding to Profilin or by RIAM recruitment of Ena/VASP-Profilin complexes.	;KREV1;PREL1 RARP1 RIAM	None	15469846
3159	RIAM-profilin complex	Human	None	None	P07737;Q7Z5R6	5216;54518	MI:0018- two hybrid	GO:0007155;GO:0030036	cell adhesion;actin cytoskeleton organization	34.07;42.04.03	cell adhesion;actin cytoskeleton	Profilin-1 ;Amyloid beta A4 precursor protein-binding family B member 1-interacting protein	PFN1;APBB1IP	Homo sapiens (Human);Homo sapiens (Human)	None	RIAM  interacts with Profilin and Ena/VASP proteins, molecules that regulate actin dynamics.	;PREL1 RARP1 RIAM	None	15469846
3160	RIAM-VASP complex	Human	None	None	P50552;Q7Z5R6	7408;54518	MI:0096- pull down	GO:0007155;GO:0030036	cell adhesion;actin cytoskeleton organization	34.07;42.04.03	cell adhesion;actin cytoskeleton	Vasodilator-stimulated phosphoprotein;Amyloid beta A4 precursor protein-binding family B member 1-interacting protein	VASP;APBB1IP	Homo sapiens (Human);Homo sapiens (Human)	None	RIAM  interacts with Profilin and Ena/VASP proteins, molecules that regulate actin dynamics.	None;PREL1 RARP1 RIAM	None	15469846
3161	PRLR homodimer complex	Human	PRL receptor dimer complex	None	P16471	5618	MI:0019-coimmunoprecipitation	GO:0023052	signaling	30.01	cellular signalling	Prolactin receptor	PRLR	Homo sapiens (Human)	None	The process of receptor dimerization can be either constitutive or ligand dependent. The receptor dimer appears in variant (alternatively spliced) forms: As heterodimer long form (LF) - short form (SF) S1a/S1b and homodimers LF - LF, SF - SF.	None	None	16556730
3162	TF-FVIIa-FXa-TFPI complex	Human	None	None	P00742;P08709;P10646;P13726	2159;2155;7035;2152	MI:0017- classical fluorescence spectroscopy	GO:0007596	blood coagulation	36.25.16.09	blood coagulation	Coagulation factor X ;Coagulation factor VII ;Tissue factor pathway inhibitor ;Tissue factor	F10;F7;TFPI;F3	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	The authors describe that the FXa-dependent inhibition of TF-FVIIa activity by TFPI leads to formation of the quaternary complex TF-FVIIa-FXa-TFPI.	;;LACI TFPI1;	None	12787023
3163	VILIP-1-AChR-alpha-4-AChR-beta-2 complex	Rat	None	brain	P09483;P12390;P62762	25590;54239;24877	MI:0006-anti bait coimmunoprecipitation	GO:0005509;GO:0051592;GO:1903048	calcium ion binding;response to calcium ion;regulation of acetylcholine-gated cation channel activity	16.17.01	calcium binding	Neuronal acetylcholine receptor subunit alpha-4;Neuronal acetylcholine receptor subunit beta-2;Visinin-like protein 1	Chrna4;Chrnb2;Vsnl1	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	The results suggest a rule for VILIP-1 as an AChR-associated protein that modulates the surface expression levels and functional properties of alpha 4-beta 2 AChRs in response to changes in the intracellular levels of calcium.	Acra4;Acrb2;Visl1	None	12202488
3164	HESX1-TLE1 complex	Human	None	None	Q04724;Q9UBX0	7088;8820	MI:0004- affinity chromatography technologies;MI:0007- anti tag coimmunoprecipitation	GO:0045892;GO:0003677;GO:0007219;GO:0005634;GO:0021983	negative regulation of transcription, DNA-templated;DNA binding;Notch signaling pathway;nucleus;pituitary gland development	11.02.03.04.03;16.03.01;30.05.02.14;70.10	transcription repression;DNA binding;Notch-receptor signalling pathway;nucleus	Transducin-like enhancer protein 1;Homeobox expressed in ES cells 1	TLE1;HESX1	Homo sapiens (Human);Homo sapiens (Human)	None	HESX1 recruits the TLE1 corepressor to specific promoters during pituitary organogenesis. This complex completely abolishes transcriptional activation mediated by PROP1.	None;HANF	None	11731482
3166	AXIN1-APC-CTNNB1-GSK3B complex	Human	AXIN-APC-betaCatenin-GSK3B complex; beta-Catenin destruction complex	SW480 cells	O15169;P25054;P35222;P49841	8312;324;1499;2932	MI:0019-coimmunoprecipitation	GO:0006468;GO:0016055;GO:0030877	protein phosphorylation;Wnt signaling pathway;beta-catenin destruction complex	14.07.03;30.05.02.20	modification by phosphorylation, dephosphorylation, autophosphorylation;Wnt signalling pathway	Axin-1;Adenomatous polyposis coli protein;Catenin beta-1;Glycogen synthase kinase-3 beta	AXIN1;APC;CTNNB1;GSK3B	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Since the authors did not specify Axin, we used isoform Axin1.	The RGS domains of Axin and conductin interact directly with the region containing the third to seventh 20-aa repeats of APC. The interaction of APC with Axin is important for regulating the stability of beta-catenin. APC promotes a GSK-3b-dependent phosphorylation of beta-catenin by interacting with Axin, thereby down-regulating beta-catenin. APC binds not to GSK-3b but forms a complex with GSK-3b when Axin is present.	AXIN;DP2.5;CTNNB;None	Adenomatous polyposis coli gene product (APC) functions as a tumor suppressor and its mutations in familial adenomatous polyposis and colorectal cancers lead to the accumulation of cytoplasmic beta-catenin.	10906131
3167	NCOR-SIN3-HDAC-HESX1 complex	Human	None	None	O75182;Q13547;Q92769;Q96ST3;Q9UBX0;Q9Y618	23309;3065;3066;25942;8820;9612	MI:0007-anti tag coimmunoprecipitation	GO:0006265;GO:0045892;GO:0006476;GO:0003677;GO:0007219;GO:0051276;GO:0005634;GO:0021983	DNA topological change;negative regulation of transcription, DNA-templated;protein deacetylation;DNA binding;Notch signaling pathway;chromosome organization;nucleus;pituitary gland development	10.01.09.05;11.02.03.04.03;14.07.04;16.03.01;30.05.02.14;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;DNA binding;Notch-receptor signalling pathway;organization of chromosome structure;nucleus	Paired amphipathic helix protein Sin3b;Histone deacetylase 1;Histone deacetylase 2;Paired amphipathic helix protein Sin3a;Homeobox expressed in ES cells 1;Nuclear receptor corepressor 2	SIN3B;HDAC1;HDAC2;SIN3A;HESX1;NCOR2	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	HESX1 recruits the N-Cor-SIN3-HDAC complex to specific promoters during pituitary organogenesis.	KIAA0700;RPD3L1;None;None;HANF;SMRT, CTG26	None	11731482
3168	DAXX-AXIN complex	Human	None	HEK 293T cells	O15169;Q9UER7	8312;1616	MI:0007-anti tag coimmunoprecipitation	GO:0005515;GO:0019209;GO:0051090;GO:0009314;GO:0006915	protein binding;kinase activator activity;regulation of sequence-specific DNA binding transcription factor activity;response to radiation;apoptotic process	16.01;18.02.01.01.05;18.02.09;32.01.13;40.10.02	protein binding;kinase activator;regulator of transcription factor;electromagnetic waves stress response (e.g. UV, X-ray);apoptosis (type I programmed cell death)	Axin-1;Death domain-associated protein 6	AXIN1;DAXX	Homo sapiens (Human);Homo sapiens (Human)	None	The Daxx-Axin complex formation is enhanced by UV-irradiation.	AXIN;BING2 DAP6	None	17210684
3169	Daxx-Axin complex	Mouse	None	293T cells	O35613;O35625	13163;12005	MI:0007-anti tag coimmunoprecipitation	GO:0005515;GO:0019209;GO:0051090;GO:0006915	protein binding;kinase activator activity;regulation of sequence-specific DNA binding transcription factor activity;apoptotic process	16.01;18.02.01.01.05;18.02.09;40.10.02	protein binding;kinase activator;regulator of transcription factor;apoptosis (type I programmed cell death)	Death domain-associated protein 6;Axin-1	Daxx;Axin1	Mus musculus (Mouse);Mus musculus (Mouse)	None	The Daxx-Axin complex formation is enhanced by UV-irradiation.	None;Axin Fu	None	17210684
3170	Daxx-Axin-p53 complex	Human	None	HEK 293T cells	O15169;P04637;Q9UER7	8312;7157;1616	MI:0007- anti tag coimmunoprecipitation	GO:2001141;GO:0006355;GO:0009314;GO:0006915;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;response to radiation;apoptotic process;nucleus	11.02.03.04;32.01.13;40.10.02;70.10	transcriptional control;electromagnetic waves stress response (e.g. UV, X-ray);apoptosis (type I programmed cell death);nucleus	Axin-1;Cellular tumor antigen p53;Death domain-associated protein 6	AXIN1;TP53;DAXX	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	Axin enhances the interaction between DAXX and p53 in a dose-dependent manner. DAXX does not directly interact with p53, but through a bridge by Axin. DAXX-Axin-p53 complex promotes HIPK2 phosphorylation of p53 at Ser(46).	AXIN;P53;BING2 DAP6	None	17210684
3171	GluR6a-GluR6b-KA2 complex	Mouse	None	None	P39087;P39087-2;Q61626	14806;14806;14809	MI:0019-coimmunoprecipitation	GO:0008324;GO:0006812;GO:0005216;GO:0007268;GO:0005886	cation transmembrane transporter activity;cation transport;ion channel activity;synaptic transmission;plasma membrane	20.01.01.01;20.03.01.01;34.03.01;70.02	cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;synaptic transmission;eukaryotic plasma membrane / membrane attached	Glutamate receptor ionotropic, kainate 2;Glutamate receptor ionotropic, kainate 2;Glutamate receptor ionotropic, kainate 5	Grik2;Grik2;Grik5	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	The splice variants GluR6a and GluR6b which differ in their C-terminal domains can assemble in vivo within the same KAR complex, together with KA2.	Glur6beta;Glur6a;None	None	16102538
3172	NUMB-TP53-MDM2 complex	Human	None	None	P04637;P49757;Q00987	7157;8650;4193	MI:0019- coimmunoprecipitation	GO:0005515;GO:0007219;GO:0023052	protein binding;Notch signaling pathway;signaling	16.01;30.05.02.14;30.01	protein binding;Notch-receptor signalling pathway;cellular signalling	Cellular tumor antigen p53;Protein numb homolog;E3 ubiquitin-protein ligase Mdm2	TP53;NUMB;MDM2	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	NUMB enters in a tricomplex with p53 and the E3 ubiquitin ligase MDM2, thereby preventing ubiquitination and degradation of p53. This results in increased p53 protein levels and activity, and in regulation of p53-dependent phenotypes.	P53;None;None	In breast cancers, loss of NUMB expression causes increased activity of the receptor NOTCH. Thus, in these cancers, a single event-loss of NUMB expression determines activation of an oncogene (NOTCH) and attenuation of the p53 tumour suppressor pathway.	18172499
3173	CIN85 homotetramer complex	Human	None	None	Q96B97	30011	MI:0031-protein cross-linking with a bifunctional re	GO:0007267	cell-cell signaling	None	None	SH3 domain-containing kinase-binding protein 1	SH3KBP1	Homo sapiens (Human)	None	CIN85 interacted with itself via its coiledcoilregion, regardless of EGF stimulation.	CIN85	None	11071869
3174	CIN85-BLNK complex	Human	None	None	Q8WV28;Q96B97	29760;30011	MI:0019-coimmunoprecipitation	GO:0050853	B cell receptor signaling pathway	None	None	B-cell linker protein;SH3 domain-containing kinase-binding protein 1	BLNK;SH3KBP1	Homo sapiens (Human);Homo sapiens (Human)	None	The authors suggest a novel mechanism in regulation ofthe B cell signaling events in which CIN85 plays aspecific role by association with BLNK or c-Cbl.	BASH SLP65;CIN85	None	11071869
3175	CIN85-CBL complex	Human	CIN85-c-CBL complex	None	P22681;Q96B97	867;30011	MI:0019-coimmunoprecipitation	GO:0005737;GO:0050853	cytoplasm;B cell receptor signaling pathway	70.03	cytoplasm	E3 ubiquitin-protein ligase CBL;SH3 domain-containing kinase-binding protein 1	CBL;SH3KBP1	Homo sapiens (Human);Homo sapiens (Human)	None	The authors suggest a novel mechanism in regulation of the B cell signaling events in which CIN85 plays a specific role by association with BLNK or c-Cbl.	CBL2, RNF55;CIN85	None	11071869
3176	USP1-UAF1 complex	Human	None	HeLa cells	O94782;Q8TAF3	7398;57599	MI:0004-affinity chromatography technologies;MI:0006-anti bait coimmunoprecipitation	GO:0016579;GO:0006974;GO:0005634	protein deubiquitination;cellular response to DNA damage stimulus;nucleus	14.07.05;32.01.09;70.10	modification by ubiquitination, deubiquitination;DNA damage response;nucleus	Ubiquitin carboxyl-terminal hydrolase 1;WD repeat-containing protein 48	USP1;WDR48	Homo sapiens (Human);Homo sapiens (Human)	None	The active USP1-UAF1 complex deubiquitinates FANCD2 both as a dimeric complex and a ternary complex containing autocleaved USP1.	UBP;KIAA1449, UAF1	This complex regulates the Fanconi anemia (OMIM:227646) pathway by deubiquitinating FANCD2.	18082604
3177	GNA14-p115RhoGEF complex	Human	None	None	O95837;Q92888	9630;9138	MI:0114- x-ray crystallography; MI:0019- coimmunoprecipitation	GO:0000902;GO:0016049	cell morphogenesis;cell growth	40.01	cell growth / morphogenesis	Guanine nucleotide-binding protein subunit alpha-14 ;Rho guanine nucleotide exchange factor 1	GNA14;ARHGEF1	Homo sapiens (Human);Homo sapiens (Human)	None	The G-protein alpha subunit a13 regulates cell growth and differentiation.	;None	None	15735747
3178	Frs2-Shp2 complex, FGF stimulated	Mouse	None	None	P35235;Q8C180	19247;327826	MI:0007- anti tag coimmunoprecipitation	GO:0008543	fibroblast growth factor receptor signaling pathway	30.05.01.12.03	FGF-receptor signalling pathway	Tyrosine-protein phosphatase non-receptor type 11;Fibroblast growth factor receptor substrate 2	Ptpn11;Frs2	Mus musculus (Mouse);Mus musculus (Mouse)	None	None	None;Frs2a	None	9632781
3179	Grb2-Shp2 complex, FGF stimulated	Mouse	None	None	P35235;Q60631	19247;14784	MI:0007- anti tag coimmunoprecipitation	GO:0008543	fibroblast growth factor receptor signaling pathway	30.05.01.12.03	FGF-receptor signalling pathway	Tyrosine-protein phosphatase non-receptor type 11;Growth factor receptor-bound protein 2	Ptpn11;Grb2	Mus musculus (Mouse);Mus musculus (Mouse)	None	On the basis of further experiments the authors conclude that FGF stimulation leads to tyrosine phosphorylation of Shp2 and association with the Grb2-Sos complex.	None;None	None	9632781
3180	Shp2-Sos complex, FGF stimulated	Mouse	None	None	P35235;Q62245	19247;20662	MI:0007- anti tag coimmunoprecipitation	GO:0008543	fibroblast growth factor receptor signaling pathway	30.05.01.12.03	FGF-receptor signalling pathway	Tyrosine-protein phosphatase non-receptor type 11;Son of sevenless homolog 1	Ptpn11;Sos1	Mus musculus (Mouse);Mus musculus (Mouse)	None	On the basis of further experiments the authors conclude that FGF stimulation leads to tyrosine phosphorylation of Shp2 and association with the Grb2-Sos complex.	None;None	None	9632781
3181	LMO4-CREB complex	Human	None	HEK 293T cells	P16220;P61968	1385;8543	MI:0007-anti tag coimmunoprecipitation	GO:0045893;GO:0019722;GO:0022008;GO:0048699	positive regulation of transcription, DNA-templated;calcium-mediated signaling;neurogenesis;generation of neurons	11.02.03.04.01;30.01.09.03;41.05.13	transcription activation;Ca2+ mediated signal transduction;neurogenesis	Cyclic AMP-responsive element-binding protein 1;LIM domain transcription factor LMO4	CREB1;LMO4	Homo sapiens (Human);Homo sapiens (Human)	None	Most probably homodimerization of LMO4 and interaction with CREB is necessary for full Ca(2+)-dependent transcription activation. This complex plays a key role in patterning thalamocortical connections during development.	None;	None	16899735
3182	FHL2 homodimer complex	Human	None	None	Q14192	2274	MI:0018-two hybrid	GO:2001141;GO:0006355;GO:0005515	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein binding	11.02.03.04;16.01	transcriptional control;protein binding	Four and a half LIM domains protein 2	FHL2	Homo sapiens (Human)	None	FHL2 protein forms homodimer complexes.	DRAL SLIM3	None	11046156
3183	PDGFRA-SHP-2 complex, PDGF stimulated	Human	None	None	P16234;Q06124	5156;5781	MI:0019- coimmunoprecipitation	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	30.05.01.12	transmembrane receptor protein tyrosine kinase signalling pathways	Platelet-derived growth factor receptor alpha;Tyrosine-protein phosphatase non-receptor type 11	PDGFRA;PTPN11	Homo sapiens (Human);Homo sapiens (Human)	None	The data demonstrate that SHP-2 does not need to be tyrosine phosphorylated in order to bind to the phosphorylated PDGFRA and are consistent with the idea that SHP-2 binds to the PDGFRA directly.	PDGFR2, RHEPDGFRA;PTP2C; SHPTP2; SHP2	None	8943348
3184	FHL3 homodimer complex	Human	None	None	Q13643	2275	MI:0018-two hybrid	GO:2001141;GO:0006355;GO:0005515	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein binding	11.02.03.04;16.01	transcriptional control;protein binding	Four and a half LIM domains protein 3	FHL3	Homo sapiens (Human)	None	FHL3 protein forms homodimer complexes.	SLIM2	None	11046156
3185	ACT homodimer complex	Human	None	None	Q5TD97	9457	MI:0018-two hybrid	GO:2001141;GO:0006355;GO:0005515	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein binding	11.02.03.04;16.01	transcriptional control;protein binding	Four and a half LIM domains protein 5	FHL5	Homo sapiens (Human)	None	ACT protein forms homodimer complexes.	ACT	None	11046156
3186	GRB2-SHP-2 complex, PDGF stimulated	Human	None	None	P62993;Q06124	2885;5781	MI:0019- coimmunoprecipitation	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	30.05.01.12	transmembrane receptor protein tyrosine kinase signalling pathways	Growth factor receptor-bound protein 2;Tyrosine-protein phosphatase non-receptor type 11	GRB2;PTPN11	Homo sapiens (Human);Homo sapiens (Human)	None	In summary, the data demonstrate that activation of the PDGFRA leads to phosphorylation of SHP-2 at Y580, which appears to trigger the formation of a complex between Grb2 and SHP-2. In addition, SHP-2 binds the activated PDGFRA directly, whereas Grb2 binds indirectly, via SHP-2.	ASH;PTP2C; SHPTP2; SHP2	None	8943348
3187	FHL2-FHL3 complex	Human	None	None	Q13643;Q14192	2275;2274	MI:0018-two hybrid	GO:2001141;GO:0006355;GO:0005515	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein binding	11.02.03.04;16.01	transcriptional control;protein binding	Four and a half LIM domains protein 3;Four and a half LIM domains protein 2	FHL3;FHL2	Homo sapiens (Human);Homo sapiens (Human)	None	None	SLIM2;DRAL SLIM3	None	11046156
3188	FHL2-ACT complex	Human	None	None	Q14192;Q5TD97	2274;9457	MI:0018-two hybrid	GO:2001141;GO:0006355;GO:0005515	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein binding	11.02.03.04;16.01	transcriptional control;protein binding	Four and a half LIM domains protein 2;Four and a half LIM domains protein 5	FHL2;FHL5	Homo sapiens (Human);Homo sapiens (Human)	None	None	DRAL SLIM3;ACT	None	11046156
3189	FHL2-CREB complex	Human	None	None	P16220;Q14192	1385;2274	MI:0007-anti tag coimmunoprecipitation	GO:0045893;GO:0003677;GO:0005515	positive regulation of transcription, DNA-templated;DNA binding;protein binding	11.02.03.04.01;16.03.01;16.01	transcription activation;DNA binding;protein binding	Cyclic AMP-responsive element-binding protein 1;Four and a half LIM domains protein 2	CREB1;FHL2	Homo sapiens (Human);Homo sapiens (Human)	None	FHL proteins differentially modulate CRE-dependent transcription in mammalian cells.	None;DRAL SLIM3	None	11046156
3190	FHL3-CREB complex	Human	None	None	P16220;Q13643	1385;2275	MI:0007-anti tag coimmunoprecipitation	GO:0045893;GO:0003677;GO:0005515	positive regulation of transcription, DNA-templated;DNA binding;protein binding	11.02.03.04.01;16.03.01;16.01	transcription activation;DNA binding;protein binding	Cyclic AMP-responsive element-binding protein 1;Four and a half LIM domains protein 3	CREB1;FHL3	Homo sapiens (Human);Homo sapiens (Human)	None	FHL proteins differentially modulate CRE-dependent transcription in mammalian cells.	None;SLIM2	None	11046156
3191	ACT-CREB complex	Human	None	None	P16220;Q5TD97	1385;9457	MI:0007-anti tag coimmunoprecipitation	GO:0045893;GO:0003677;GO:0005515	positive regulation of transcription, DNA-templated;DNA binding;protein binding	11.02.03.04.01;16.03.01;16.01	transcription activation;DNA binding;protein binding	Cyclic AMP-responsive element-binding protein 1;Four and a half LIM domains protein 5	CREB1;FHL5	Homo sapiens (Human);Homo sapiens (Human)	None	FHL proteins differentially modulate CRE-dependent transcription in mammalian cells.	None;ACT	None	11046156
3192	G protein complex (Hdac4, Gnb1, Gng2)	Mouse	None	brain	P62874;P63213;Q6NZM9	14688;14702;208727	MI:0019-coimmunoprecipitation;MI:0018-two hybrid	GO:0045892;GO:0007186	negative regulation of transcription, DNA-templated;G-protein coupled receptor signaling pathway	11.02.03.04.03;30.05.02.24	transcription repression;G-protein coupled receptor signalling pathway	Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G;Histone deacetylase 4	Gnb1;Gng2;Hdac4	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	The class II HDAC4 binds to GNB1/GNG2 via itsC-terminal domain. The transcriptional co-repressionactivity is then inhibited.	None;None;None	None	16221676
3193	G protein complex (Hdac5, Gnb1, Gng2)	Mouse	None	brain	P62874;P63213;Q9Z2V6	14688;14702;15184	MI:0019-coimmunoprecipitation;MI:0018-two hybrid	GO:0045892;GO:0007186	negative regulation of transcription, DNA-templated;G-protein coupled receptor signaling pathway	11.02.03.04.03;30.05.02.24	transcription repression;G-protein coupled receptor signalling pathway	Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G;Histone deacetylase 5	Gnb1;Gng2;Hdac5	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	The class II HDAC5 binds to GNB1/GNG2 via itsC-terminal domain. The transcriptional co-repressionactivity is then inhibited.	None;None;None	None	16221676
3194	G protein complex (HDAC5, GNB1, GNG2)	Bovine	None	fetal bovine serum	P62871;P63212;Q2T9N9	281201;281203;504242	MI:0019-coimmunoprecipitation;MI:0018-two hybrid	GO:0045892;GO:0007186	negative regulation of transcription, DNA-templated;G-protein coupled receptor signaling pathway	11.02.03.04.03;30.05.02.24	transcription repression;G-protein coupled receptor signalling pathway	Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G;Histone deacetylase	GNB1;GNG2;HDAC5	Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine)	None	The class II HDAC5 binds to GNB1/GNG2 via itsC-terminal domain. The transcriptional co-repressionactivity is then inhibited.	None;None;None	None	16221676
3195	G protein complex (Btk, Gng2, Gnb1)	Mouse	None	transfected 293T cells	P35991;P62874;P63213	12229;14688;14702	MI:0047-far western blotting	GO:0007186;GO:0030154	G-protein coupled receptor signaling pathway;cell differentiation	30.05.02.24;40.02	G-protein coupled receptor signalling pathway;cell differentiation	Tyrosine-protein kinase BTK;Guanine nucleotide-binding protein G;Guanine nucleotide-binding protein G	Btk;Gnb1;Gng2	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	The pleckstrin homology domain of Btk was shown to interact with the beta gamma dimer of heterotrimeric guanine nucleotide-binding proteins (G proteins). A highly conserved tryptophan residue in subdomain 6 of the pleckstrin homology domain was shown to play a critical role in the binding. The interaction of Btk with beta gamma suggests the existence of a unique connection between cytoplasmic tyrosine kinases and G proteins in cellular signal transduction.	Bpk;None;None	Deficient expression or function of Bruton tyrosine kinase (Btk) causes human X chromosome-linked agammaglobulinemia (XLA) or murine X chromosome-linked immunodeficiency (XID).	7972043
3196	FHL4/STX11-ACT complex	Human	None	None	O75558;Q5TD97	8676;9457	MI:0018-two hybrid	GO:2001141;GO:0006355;GO:0005515	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein binding	11.02.03.04;16.01	transcriptional control;protein binding	Syntaxin-11;Four and a half LIM domains protein 5	STX11;FHL5	Homo sapiens (Human);Homo sapiens (Human)	None	None	None;ACT	None	11046156
3197	SMAD4-SNO-SKI complex	Human	None	HEK 293T cells	P12755;P12757;Q13485	6497;6498;4089	MI:0004- affinity chromatography technologies	GO:2001141;GO:0006355;GO:0003677;GO:0007179;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus	11.02.03.04;16.03.01;30.05.01.18.01;70.10	transcriptional control;DNA binding;TGF-beta-receptor signalling pathway;nucleus	Ski oncogene;Ski-like protein;Mothers against decapentaplegic homolog 4	SKI;SKIL;SMAD4	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	Ski and Sno associate predominantly with the MH2 domain of SMAD4.	None;SNO;DPC4 MADH4	None	10485843
3198	SKI-SMAD2 complex	Human	None	HEK 293T cells	P12755;Q15796	6497;4087	MI:0007-anti tag coimmunoprecipitation	GO:0045892;GO:0003677;GO:0007179;GO:0005634	negative regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus	11.02.03.04.03;16.03.01;30.05.01.18.01;70.10	transcription repression;DNA binding;TGF-beta-receptor signalling pathway;nucleus	Ski oncogene;Mothers against decapentaplegic homolog 2	SKI;SMAD2	Homo sapiens (Human);Homo sapiens (Human)	None	Smad proteins are the DNA-binding partners of Ski. Ski represses TGF(beta)-induced and SMAD-dependent transcriptional activation.	None;MADH2, MADR2	None	10485843
3199	SKI-SMAD3 complex	Human	None	HEK 293T cells	P12755;P84022	6497;4088	MI:0007-anti tag coimmunoprecipitation	GO:0045892;GO:0003677;GO:0007179;GO:0005634	negative regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus	11.02.03.04.03;16.03.01;30.05.01.18.01;70.10	transcription repression;DNA binding;TGF-beta-receptor signalling pathway;nucleus	Ski oncogene;Mothers against decapentaplegic homolog 3	SKI;SMAD3	Homo sapiens (Human);Homo sapiens (Human)	None	Smad proteins are the DNA-binding partners of Ski. Ski represses TGF(beta)-induced and SMAD-dependent transcriptional activation.	None;MADH3	None	10485843
